"","Y_1996","Y_1998","Y_2000","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","country","code"
"1",NA,NA,NA,NA,NA,"1.1659653186798096","1.2696630954742432","1.2513132095336914","1.2618709802627563","1.2767753601074219","1.1091475486755371","1.1212955713272095","1.1029465198516846","1.0952359437942505","1.1194067001342773","1.0142315626144409","1.2941561937332153","1.2804073095321655","1.2873078584671021","1.2479484081268311","1.2138819694519043","1.2323623895645142","0.83407926559448242","Aruba","ABW"
"2","1.3181432485580444","1.3347587585449219","1.313403844833374","1.3107438087463379","1.3327895402908325","1.1191502809524536","1.2696630954742432","1.2513132095336914","1.2618709802627563","1.2767753601074219","1.3177649974822998","1.3017727136611938","1.2722980976104736","1.2605308294296265","1.2535485029220581","1.2207086086273193","1.2154402732849121","1.2233114242553711","1.2378654479980469","1.234533429145813","1.2310431003570557","1.3114006519317627","1.3256169557571411","Andorra","ADO"
"3","-1.2917047739028931","-1.1760122776031494","-1.2717242240905762","-1.2511370182037354","-1.3441797494888306","-1.3506473302841187","-1.4472523927688599","-1.4462922811508179","-1.6132510900497437","-1.6720955371856689","-1.5522987842559814","-1.6453911066055298","-1.6004707813262939","-1.4303728342056274","-1.4459084272384644","-1.3647428750991821","-1.3485871553421021","-1.5340492725372314","-1.5217256546020508","-1.4897717237472534","-1.4077104330062866","-1.4805377721786499","-1.1423768997192383","Afghanistan","AFG"
"4","-1.1677018404006958","-1.1804506778717041","-1.1975142955780029","-1.1554926633834839","-1.335463285446167","-1.3775688409805298","-1.3231819868087769","-1.2410377264022827","-1.3074935674667358","-1.3087645769119263","-1.39776611328125","-1.332474946975708","-1.3674690723419189","-1.3024014234542847","-1.3368747234344482","-1.4577982425689697","-1.4092695713043213","-1.4678794145584106","-1.4280534982681274","-1.1805014610290527","-1.0781136751174927","-0.95337116718292236","-0.65534579753875732","Angola","AGO"
"5",NA,NA,NA,NA,NA,"0.83826005458831787","1.2696630954742432","1.2513132095336914","1.2618709802627563","1.2767753601074219","1.3177649974822998","1.3017727136611938","1.2722980976104736","1.2605308294296265","1.2535485029220581","1.2207086086273193","1.2154402732849121","1.2233114242553711","1.2378654479980469","1.234533429145813","1.2310431003570557","0.67526835203170776","0.68094277381896973","Anguilla","AIA"
"6","-0.89390349388122559","-0.99202477931976318","-0.85556364059448242","-0.84534090757369995","-0.85378658771514893","-0.72373181581497192","-0.81326389312744141","-0.79054528474807739","-0.70694005489349365","-0.60521239042282104","-0.54527091979980469","-0.53161650896072388","-0.70179414749145508","-0.77872943878173828","-0.75095593929290771","-0.58614134788513184","-0.52095985412597656","-0.44898048043251038","-0.45825698971748352","-0.52414512634277344","-0.54337406158447266","-0.55193108320236206","-0.5559241771697998","Albania","ALB"
"7",NA,NA,NA,NA,NA,"0.60418474674224854","1.2696630954742432","1.2513132095336914","1.2618709802627563","1.2767753601074219","0.83261555433273315","0.81526482105255127","0.79137200117111206","0.77997100353240967","0.77830171585083008",NA,NA,NA,NA,NA,NA,NA,NA,"Netherlands Antilles (former)","ANT"
"8","-5.579059012234211E-3","3.3033475279808044E-2","0.10334522277116776","1.111619234085083","0.82603675127029419","1.0394773483276367","0.99080854654312134","0.88587254285812378","1.0060982704162598","1.0714504718780518","0.90630471706390381","0.89083391427993774","1.0704876184463501","1.1557362079620361","1.2735863924026489","1.1990468502044678","1.0686658620834351","1.1662156581878662","1.1292243003845215","1.1475083827972412","1.1029372215270996","1.1112473011016846","1.1782252788543701","United Arab Emirates","ARE"
"9","-0.1013171523809433","-0.20348159968852997","-0.17240765690803528","-0.41705572605133057","-0.47997680306434631","-0.41440954804420471","-0.377738356590271","-0.33123853802680969","-0.37212207913398743","-0.4348750114440918","-0.44547510147094727","-0.35523003339767456","-0.36409851908683777","-0.44590920209884644","-0.43401578068733215","-0.54944306612014771","-0.55724495649337769","-0.27494171261787415","-0.28451669216156006","-7.4287265539169312E-2","-8.3662860095500946E-2","-0.14087410271167755","-0.40077754855155945","Argentina","ARG"
"10","-0.47305130958557129","-0.93630605936050415","-0.84808623790740967","-0.77816516160964966","-0.64902240037918091","-0.70345532894134521","-0.6833498477935791","-0.66923260688781738","-0.74589169025421143","-0.71241235733032227","-0.62145966291427612","-0.69503957033157349","-0.66455942392349243","-0.58800148963928223","-0.53045022487640381","-0.56515538692474365","-0.58442789316177368","-0.6377490758895874","-0.61444598436355591","-0.38572782278060913","-0.2038201242685318","2.0228100940585136E-2","7.2149872779846191E-2","Armenia","ARM"
"11",NA,NA,NA,NA,NA,"0.79144495725631714","0.78930914402008057","0.29986104369163513","0.30806240439414978","0.31755527853965759","0.34746608138084412","0.32875683903694153","0.3104458749294281","0.29941114783287048","0.3030550479888916","1.2207086086273193","1.2154402732849121","1.2233114242553711","1.8363502025604248","1.8415826559066772","1.8407998085021973","1.3114006519317627","1.3256169557571411","American Samoa","ASM"
"12","0.86989718675613403","0.88336640596389771","0.86153757572174072","0.85021036863327026","0.85412007570266724","0.83985602855682373","0.7424461841583252","1.1196162700653076","1.1469670534133911","1.2767753601074219","1.3177649974822998","1.3017727136611938","1.2722980976104736","1.2605308294296265","1.2535485029220581","0.63489776849746704","0.68585079908370972","0.68803876638412476","0.23745203018188477","0.27234762907028198","0.27413156628608704","0.2713964581489563","0.26372694969177246","Antigua and Barbuda","ATG"
